trade_id,entry_date,exit_date,symbol,company_name,sector,entry_price,exit_price,shares,capital_allocated,gross_pnl,net_pnl,return_pct,is_win,costs,holding_period,sl_or_tp_hit,actual_rank,mfe_pct,mae_pct
1,2021-09-22,2021-09-22,APARINDS,Apar Industries Ltd.,Mid-Cap Equities,641.1798244628907,646.1551121826171,1559,999599.3463376466,7756.473555053468,7354.742661838303,0.7357690547502623,True,401.73089321516494,1 Day,BREAKEVEN RATCHET,28,2.6233164075615445,-1.236755144242632
2,2021-09-23,2021-09-23,NIACL,The New India Assurance Company Ltd.,Mid-Cap Equities,164.328,162.87359695434571,6089,1000593.192,-8855.860144988983,-9253.186439269908,-0.9247700777150508,False,397.3262942809244,1 Day,INTRADAY CLOSE,50,-0.19960079840319542,-1.3862500293572553
3,2021-09-23,2021-09-23,SJVN,SJVN Ltd.,Mid-Cap Equities,27.054,26.946,36956,999807.624,-3991.247999999905,-4389.689797743905,-0.43905344311956407,False,398.4417977440001,1 Day,INTRADAY CLOSE,65,0.5396642379664915,-0.7540460506035039
4,2021-09-27,2021-09-29,BSE,BSE Ltd.,Mid-Cap Equities,131.59042959594726,137.6740969543457,7594,999297.7223516235,46199.36991967785,43914.67570974765,4.394553767860523,True,2284.694209930198,3 Days,SL HIT (Trailing Stop),2,9.337569260462804,-0.19960079840318654
5,2021-09-30,2021-09-30,JSL,Jindal Stainless Ltd.,Mid-Cap Equities,161.72279388427734,162.0462394720459,6206,1003651.6588458251,2007.3033176916651,1605.7897408287267,0.1599947279193805,True,401.5135768629383,1 Day,BREAKEVEN RATCHET,39,1.9027677506501706,-0.8797713657714936
8,2021-10-04,2021-10-04,RVNL,Rail Vikas Nigam Ltd.,Mid-Cap Equities,30.210299617767333,30.139600761413575,33231,1003918.4665980262,-2349.3936954917153,-2749.754309321237,-0.2739021544886326,False,400.36061382952175,1 Day,INTRADAY CLOSE,73,0.9589457433328057,-0.19960079840319134
6,2021-10-04,2021-10-05,JUBLFOOD,Jubilant Foodworks Ltd.,Mid-Cap Equities,815.3474106445312,815.3441492548886,1231,1003692.6625034179,-4.014770650072023,-2250.5993756063863,-0.2242319247400817,False,2246.5846049563143,2 Days,SL HIT (Trailing Stop),22,1.9933300491576502,-0.49272169166659174
10,2021-10-05,2021-10-05,TATACOMM,Tata Communications Ltd.,Mid-Cap Equities,1447.7898244628907,1450.6854041118165,693,1003318.3483527832,2006.6366967055947,1605.2407865968082,0.15999316560214835,True,401.39591010878644,1 Day,BREAKEVEN RATCHET,26,1.5202637836883393,-0.6174825051191217
7,2021-10-04,2021-10-06,POLYCAB,Polycab India Ltd.,Mid-Cap Equities,2363.517648925781,2405.4295,424,1002131.4831445311,17770.62485546898,15509.091352979969,1.5476104297526785,True,2261.5335024890123,3 Days,SL HIT (Trailing Stop),14,6.578429873154774,-0.5719292568822071
11,2021-10-06,2021-10-06,KPRMILL,K.P.R. Mill Ltd.,Mid-Cap Equities,442.884,443.8106121826172,2269,1004903.7960000001,2102.4830423583044,1700.5009043392301,0.16922026875687413,True,401.9821380190741,1 Day,BREAKEVEN RATCHET,7,2.035746131376243,-1.1027718319018105
12,2021-10-07,2021-10-07,SJVN,SJVN Ltd.,Mid-Cap Equities,28.3065,28.043800380706788,35514,1005277.041,-9329.514279579045,-9728.35583367939,-0.9677288386097133,False,398.8415541003452,1 Day,INTRADAY CLOSE,85,0.3303114780360471,-0.90615499245563
9,2021-10-05,2021-10-11,APARINDS,Apar Industries Ltd.,Mid-Cap Equities,648.7449122314454,709.5281121826172,1546,1002959.6343098145,93970.82712451159,91628.49246501255,9.135810588036934,True,2342.3346594990403,5 Days,TIME EXIT (Swing Max),8,12.509556630428623,-0.5695496594751593
14,2021-10-11,2021-10-11,JUBLFOOD,Jubilant Foodworks Ltd.,Mid-Cap Equities,808.2131755371094,811.2043570556641,1253,1012691.108947998,3747.9504427490756,3342.7526751547093,0.33008610874714023,True,405.1977675943661,1 Day,BREAKEVEN RATCHET,29,1.9532995675799636,-0.744007090218737
15,2021-10-11,2021-10-11,SJVN,SJVN Ltd.,Mid-Cap Equities,28.206299617767336,28.26271221700287,35943,1013819.0271614114,2027.6380543228006,1622.5351478319703,0.16004189153708245,True,405.1029064908304,1 Day,BREAKEVEN RATCHET,45,1.5730528526451883,-0.7313955412903081
17,2021-10-13,2021-10-13,HONAUT,Honeywell Automation India Ltd.,Mid-Cap Equities,45090.0,45180.18,22,991980.0,1983.9599999999627,1586.5668041050028,0.15993939435321305,True,397.39319589496,1 Day,BREAKEVEN RATCHET,50,1.1310711909514306,-0.3637170104235973
18,2021-10-13,2021-10-13,RVNL,Rail Vikas Nigam Ltd.,Mid-Cap Equities,30.360599235534668,30.139600761413575,33403,1014135.0962645645,-7382.01203106693,-7784.533050239964,-0.7676031604579394,False,402.5210191730341,1 Day,INTRADAY CLOSE,66,0.788525760238812,-0.6936609365664441
13,2021-10-08,2021-10-14,POLYCAB,Polycab India Ltd.,Mid-Cap Equities,2451.0923510742186,2558.0236025390627,409,1002496.7715893554,43734.881849121186,41445.631672429896,4.134240911990381,True,2289.2501766912937,5 Days,TIME EXIT (Swing Max),6,8.033465113604732,-0.39746578351888656
16,2021-10-13,2021-10-18,GVT&D,GE Vernova T&D India Ltd.,Mid-Cap Equities,132.765,132.78390304565428,7637,1013926.3049999999,144.36255966185126,-2125.1195769757564,-0.2095931002574942,False,2269.4821366376077,3 Days,SL HIT (Trailing Stop),21,2.4366361616389964,-1.3294166384212607
19,2021-10-18,2021-10-18,GODREJIND,Godrej Industries Ltd.,Mid-Cap Equities,574.146,576.9437756347656,1771,1016812.5659999999,4954.860649170121,4547.86481671412,0.4472667794227595,True,406.99583245600127,1 Day,BREAKEVEN RATCHET,34,1.1066871492616934,-0.6698665856822495
21,2021-10-19,2021-10-19,TATACOMM,Tata Communications Ltd.,Mid-Cap Equities,1482.96,1494.2055512695313,686,1017310.56,7714.448170898366,7306.486953763082,0.7182159746540999,True,407.9612171352836,1 Day,BREAKEVEN RATCHET,9,3.846361331391269,-1.2110913308518123
