trade_id,entry_date,exit_date,symbol,company_name,sector,entry_price,exit_price,shares,capital_allocated,gross_pnl_inr,net_pnl_inr,return_pct,is_win,total_charges_inr,mfe_pct,mae_pct,highest_price_reached,lowest_price_reached,holding_period,sl_or_tp_hit,trade_type,actual_rank,pred_rank,selection_reason
1,2021-09-23,2021-09-23,SJVN,SJVN Ltd.,Mid-Cap Equities,27.054,26.946,36963,999997.002,-3992.003999999957,-4390.512328011957,-0.4390525490807378,False,398.50832801199994,0.5396642379664915,-0.7540460506035039,27.200000762939453,26.850000381469727,1 Day (Intraday),INTRADAY SQUARE OFF,INTRADAY,65,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.32%), RSI-14 (48.0), clean gap (+0.56%) holding above prev_close. PIT-Score: nan (Rank #1)."
2,2021-09-30,2021-09-30,JSL,Jindal Stainless Ltd.,Mid-Cap Equities,161.72279388427734,162.0462394720459,6180,999446.866204834,1998.8937324096914,1598.8645501646126,0.15997494256357292,True,400.02918224507886,1.9027677506501706,-0.8797713657714936,164.8000030517578,160.3000030517578,1 Day (Intraday),BREAKEVEN RATCHET / INTRADAY CLOSE,INTRADAY,39,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.68%), RSI-14 (52.5), clean gap (+0.72%) holding above prev_close. PIT-Score: nan (Rank #1)."
4,2021-10-04,2021-10-04,RVNL,Rail Vikas Nigam Ltd.,Mid-Cap Equities,30.210299617767333,30.139600761413575,33092,999719.2349511565,-2339.5665544584626,-2738.449953478851,-0.2739219030443727,False,398.88339902038854,0.9589457433328057,-0.19960079840319134,30.5,30.149999618530273,1 Day (Intraday),INTRADAY SQUARE OFF,INTRADAY,73,Rank #2,"Point-in-Time Execution: Coiling proximity to 20-DMA (-0.91%), RSI-14 (51.2), clean gap (+0.50%) holding above prev_close. PIT-Score: nan (Rank #2)."
3,2021-10-04,2021-10-05,JUBLFOOD,Jubilant Foodworks Ltd.,Mid-Cap Equities,815.3474106445312,815.3441492548886,1226,999615.9254501953,-3.998463701806031,-2241.522733138396,-0.2242383975754373,False,2237.5242694365897,1.9933300491576502,-0.49272169166659174,831.5999755859375,811.3300170898438,2 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,22,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (-1.28%), RSI-14 (53.3), clean gap (+0.56%) holding above prev_close. PIT-Score: nan (Rank #1)."
5,2021-10-05,2021-10-11,APARINDS,Apar Industries Ltd.,Mid-Cap Equities,648.7449122314454,709.5281121826172,1540,999067.1648364259,93606.12792480446,91272.82200266441,9.135804399858163,True,2333.3059221400526,12.509556630428623,-0.5695496594751593,729.9000244140625,645.0499877929688,5 Days (Swing),TP REACHED (Peak > +5%),SWING,8,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (-1.13%), RSI-14 (50.8), clean gap (+0.42%) holding above prev_close. PIT-Score: nan (Rank #1)."
7,2021-10-11,2021-10-11,SJVN,SJVN Ltd.,Mid-Cap Equities,28.206299617767336,28.26271221700287,35749,1008347.0050355644,2016.6940100712236,1613.5228611927023,0.16001662653183496,True,403.17114887852136,1.5730528526451883,-0.7313955412903081,28.649999618530273,28.0,1 Day (Intraday),BREAKEVEN RATCHET / INTRADAY CLOSE,INTRADAY,45,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (+1.37%), RSI-14 (57.4), clean gap (+0.72%) holding above prev_close. PIT-Score: nan (Rank #1)."
9,2021-10-13,2021-10-13,HONAUT,Honeywell Automation India Ltd.,Mid-Cap Equities,45090.0,45180.18,22,991980.0,1983.9599999999627,1586.5668041050028,0.15993939435321305,True,397.39319589496,1.1310711909514306,-0.3637170104235973,45600.0,44926.0,1 Day (Intraday),BREAKEVEN RATCHET / INTRADAY CLOSE,INTRADAY,50,Rank #2,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.41%), RSI-14 (54.7), clean gap (+0.55%) holding above prev_close. PIT-Score: nan (Rank #2)."
10,2021-10-13,2021-10-13,RVNL,Rail Vikas Nigam Ltd.,Mid-Cap Equities,30.360599235534668,30.139600761413575,33222,1008639.8278029327,-7342.011307250941,-7742.606957311311,-0.7676285175231109,False,400.59565006036996,0.788525760238812,-0.6936609365664441,30.600000381469727,30.149999618530273,1 Day (Intraday),INTRADAY SQUARE OFF,INTRADAY,66,Rank #3,"Point-in-Time Execution: Coiling proximity to 20-DMA (-0.66%), RSI-14 (49.5), clean gap (+0.50%) holding above prev_close. PIT-Score: nan (Rank #3)."
6,2021-10-08,2021-10-14,POLYCAB,Polycab India Ltd.,Mid-Cap Equities,2451.0923510742186,2558.0236025390627,407,997594.586887207,43521.01934619155,41242.885649581876,4.1342331034766335,True,2278.1336966096733,8.033465113604732,-0.39746578351888656,2648.0,2441.35009765625,5 Days (Swing),TP REACHED (Peak > +5%),SWING,6,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.19%), RSI-14 (59.9), clean gap (+1.10%) holding above prev_close. PIT-Score: nan (Rank #1)."
8,2021-10-13,2021-10-18,GVT&D,GE Vernova T&D India Ltd.,Mid-Cap Equities,132.765,132.78390304565428,7596,1008482.94,143.58753479004372,-2113.7961813156617,-0.20960158050027716,False,2257.3837161057054,2.4366361616389964,-1.3294166384212607,136.0,131.0,3 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,21,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (+1.53%), RSI-14 (51.6), clean gap (+0.80%) holding above prev_close. PIT-Score: nan (Rank #1)."
11,2021-10-18,2021-10-18,GODREJIND,Godrej Industries Ltd.,Mid-Cap Equities,574.146,576.9437756347656,1762,1011645.252,4929.680668457062,4524.513273320148,0.4472430690872405,True,405.1673951369138,1.1066871492616934,-0.6698665856822495,580.5,570.2999877929688,1 Day (Intraday),BREAKEVEN RATCHET / INTRADAY CLOSE,INTRADAY,34,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (-0.28%), RSI-14 (54.8), clean gap (+0.64%) holding above prev_close. PIT-Score: nan (Rank #1)."
12,2021-10-18,2021-10-20,RVNL,Rail Vikas Nigam Ltd.,Mid-Cap Equities,31.01190076446533,32.13560076141358,32641,1012259.4528529128,36678.6916003878,34375.056140993634,3.3958740562127927,True,2303.635459394165,13.5048155554303,-0.360832916321202,35.20000076293945,30.899999618530273,3 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,4,Rank #2,"Point-in-Time Execution: Coiling proximity to 20-DMA (+0.90%), RSI-14 (55.7), clean gap (+0.98%) holding above prev_close. PIT-Score: nan (Rank #2)."
13,2021-10-26,2021-10-27,SUZLON,Suzlon Energy Ltd.,Mid-Cap Equities,6.394350202560425,6.394324625159615,158843,1015697.7692253055,-4.062791076838039,-2277.3281197174097,-0.22421316544333622,False,2273.2653286405716,2.6723393477502784,-0.9175914278142868,6.5652289390563965,6.335676193237305,2 Days (Swing),SL HIT (Trailing Stop Triggered),SWING,40,Rank #1,"Point-in-Time Execution: Coiling proximity to 20-DMA (-0.58%), RSI-14 (52.1), clean gap (+0.72%) holding above prev_close. PIT-Score: 1.04 (Rank #1)."
