date,equity
2021-09-20,10000000.0
2021-09-21,10000000.0
2021-09-22,10039904.141793275
2021-09-23,10045611.918981653
2021-09-24,10152008.556838496
2021-09-27,10274968.460001308
2021-09-28,10274968.460001308
2021-09-29,10283996.797474004
2021-09-30,10380390.991804266
2021-10-01,10380390.991804266
2021-10-04,10376380.996209633
2021-10-05,10388699.966075296
2021-10-06,10462885.767485803
2021-10-07,10549115.99567315
2021-10-08,10581348.887522867
2021-10-11,10726156.354341716
2021-10-12,10770085.256053142
2021-10-13,10796584.933055354
2021-10-14,11049774.392099759
2021-10-18,11180236.006111661
2021-10-19,11180236.006111661
2021-10-20,11236062.398607267
2021-10-21,11236062.398607267
2021-10-22,11236062.398607267
2021-10-25,11236062.398607267
2021-10-26,11279589.243983854
2021-10-27,11240753.124100797
2021-10-28,11282343.114661299
2021-10-29,11401683.082661299
2021-11-01,11358029.786582809
2021-11-02,11363198.499356674
2021-11-03,11405491.371356674
2021-11-04,11405491.371356674
2021-11-08,11493979.559172347
2021-11-09,11489168.550672347
2021-11-10,11489168.550672347
2021-11-11,11583773.786797117
2021-11-12,11580758.008297117
2021-11-15,11580758.008297117
2021-11-16,11597646.786264524
2021-11-17,11597646.786264524
2021-11-18,11597646.786264524
2021-11-22,11597646.786264524
2021-11-23,11597646.786264524
2021-11-24,11640144.26182449
2021-11-25,11633534.333609646
2021-11-26,11633534.333609646
2021-11-29,11660944.666109646
2021-11-30,11732597.18901321
2021-12-01,11732597.18901321
2021-12-02,11732597.18901321
2021-12-03,11746679.608498797
2021-12-06,11746679.608498797
2021-12-07,12059859.398405071
2021-12-08,12059859.398405071
2021-12-09,12074388.800519375
2021-12-10,12182534.58976053
2021-12-13,12251520.805497615
2021-12-14,12251520.805497615
2021-12-15,12251520.805497615
2021-12-16,12251520.805497615
2021-12-17,12251520.805497615
2021-12-20,12251520.805497615
2021-12-21,12283432.568997614
2021-12-22,12283432.568997614
2021-12-23,12357579.798160885
2021-12-24,12357579.798160885
2021-12-27,12357579.798160885
2021-12-28,12510682.655737454
2021-12-29,12516820.426630337
2021-12-30,12516820.426630337
2021-12-31,12534970.512132335
2022-01-03,12555661.307683406
2022-01-04,12591282.82744537
2022-01-05,12608718.953030696
2022-01-06,12864644.686844295
2022-01-07,12928289.144627133
2022-01-10,13018441.712597981
2022-01-11,13096180.668422902
2022-01-12,13132066.859705007
2022-01-13,13379107.600020897
2022-01-14,13379107.600020897
2022-01-17,13400065.288020898
2022-01-18,13499169.23314248
2022-01-19,13541929.271563135
2022-01-20,13541929.271563135
2022-01-21,13544966.24069647
2022-01-24,13544966.24069647
2022-01-25,13544966.24069647
2022-01-27,13544966.24069647
2022-01-28,13592012.342675839
2022-01-31,13631804.795754788
2022-02-01,13745001.962680403
2022-02-02,13745001.962680403
2022-02-03,13745001.962680403
2022-02-04,13817656.273634112
2022-02-07,13817656.273634112
2022-02-08,13817656.273634112
2022-02-09,13815197.356130984
2022-02-10,13762850.229340944
2022-02-11,13861242.221717166
2022-02-14,13861242.221717166
2022-02-15,13861242.221717166
2022-02-16,13932362.929000247
