symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,trade_type,exit_reason
HEXT,2025-09-19,2025-09-19,756.8035756237101,759.5895318603516,1321,3680.248188603398,0.3681214421252531,INTRADAY,SQUARE_OFF_INTRADAY
INDUSINDBK,2025-09-19,2025-09-19,739.0170336777287,741.709896484375,1353,3643.4433773924484,0.3643844030556689,INTRADAY,SQUARE_OFF_INTRADAY
JKCEMENT,2025-09-19,2025-09-19,6810.097670982046,6822.881090820312,146,1866.3792963868545,0.1877127238972874,INTRADAY,SQUARE_OFF_INTRADAY
AIIL,2025-09-19,2025-09-19,647.3964020385741,630.8158570556641,1544,-25600.361453613124,-2.561111697670839,INTRADAY,SQUARE_OFF_INTRADAY
OIL,2025-09-25,2025-09-25,400.03645327544547,403.63751831054685,2495,8984.657262577955,0.9001842221168451,INTRADAY,SQUARE_OFF_INTRADAY
KEI,2025-09-25,2025-09-25,4117.455071579315,4144.676944335937,242,6587.693207102611,0.6611334497496043,INTRADAY,SQUARE_OFF_INTRADAY
AIAENG,2025-09-25,2025-09-25,3079.669325734013,3081.219498535156,324,502.2559875703846,0.05033568988039623,INTRADAY,SQUARE_OFF_INTRADAY
IPCALAB,2025-09-26,2025-09-26,1353.163457512681,1363.7228989257812,738,7792.867762868043,0.7803522445477636,INTRADAY,SQUARE_OFF_INTRADAY
ICICIGI,2025-09-26,2025-09-26,1882.184125209431,1876.9635256347656,531,-2772.1383741473046,-0.2773692278423855,INTRADAY,SQUARE_OFF_INTRADAY
AUBANK,2025-09-23,2025-09-29,711.4390992474235,739.2990188939611,1403,39087.46726409226,3.9159950129263996,SWING,STOP_LOSS_HIT
ABCAPITAL,2025-09-29,2025-09-29,281.09074999999996,289.2703060913086,3573,29225.553914245822,2.9099342796974486,INTRADAY,SQUARE_OFF_INTRADAY
GVT&D,2025-09-29,2025-09-29,2936.536460860962,2975.5569794921876,342,13345.017371879127,1.3287939431811142,INTRADAY,SQUARE_OFF_INTRADAY
BHARATFORG,2025-09-29,2025-09-29,1191.3973722804421,1206.5276655273437,843,12754.83720713805,1.2699619454373023,INTRADAY,SQUARE_OFF_INTRADAY
APLAPOLLO,2025-09-29,2025-09-29,1667.2833019690984,1686.1127158203126,602,11335.307138430955,1.1293469939377585,INTRADAY,SQUARE_OFF_INTRADAY
UNOMINDA,2025-09-30,2025-09-30,1293.9253673624523,1293.2503569335938,781,-527.183144938499,-0.052167647832305826,INTRADAY,SQUARE_OFF_INTRADAY
PETRONET,2025-09-30,2025-09-30,270.08878570135863,268.16526190185544,3743,-7199.749581540427,-0.7121820309970429,INTRADAY,SQUARE_OFF_INTRADAY
